Date,Time,Defect Rate
8/29/2024,22:50.2,10%
8/29/2024,22:49.3,11%
8/29/2024,22:48.4,8%
8/29/2024,22:47.5,8%
8/29/2024,22:46.5,8%
8/29/2024,22:45.6,7%
8/29/2024,22:44.7,15%
8/29/2024,22:43.8,8%
8/29/2024,22:42.9,9%
8/29/2024,22:42.0,9%
8/29/2024,22:41.1,10%
8/29/2024,22:40.1,5%
8/29/2024,22:39.2,12%
8/29/2024,22:38.5,8%
8/29/2024,22:37.4,11%
8/29/2024,22:36.5,6%
8/29/2024,22:35.6,12%
8/29/2024,22:34.7,11%
8/29/2024,22:33.8,8%
8/29/2024,22:32.9,7%
8/29/2024,22:31.9,6%
8/29/2024,22:31.0,10%
8/29/2024,22:30.1,10%
8/29/2024,22:29.2,6%
8/29/2024,22:28.3,5%
8/29/2024,22:27.4,10%
8/29/2024,22:26.5,11%
8/29/2024,22:25.6,9%
8/29/2024,22:24.7,11%
8/29/2024,22:23.8,5%
8/29/2024,22:22.8,14%
8/29/2024,22:21.9,5%
8/29/2024,22:21.0,6%
8/29/2024,22:20.1,11%
8/29/2024,22:19.2,15%
8/29/2024,22:18.3,14%
8/29/2024,22:17.4,7%
8/29/2024,22:16.5,14%
8/29/2024,22:15.5,12%
8/29/2024,22:14.6,8%
8/29/2024,22:13.7,7%
8/29/2024,22:12.8,9%
8/29/2024,22:11.9,11%
8/29/2024,22:11.0,8%
8/29/2024,22:10.1,5%
8/29/2024,22:09.2,15%
8/29/2024,22:08.2,9%
8/29/2024,22:07.3,8%
8/29/2024,22:06.4,13%
8/29/2024,22:05.5,15%
8/29/2024,22:04.6,15%
8/29/2024,22:03.7,12%
8/29/2024,22:02.8,13%
8/29/2024,22:01.9,10%
8/29/2024,22:01.0,8%
8/29/2024,22:00.0,13%
8/29/2024,21:59.2,8%
8/29/2024,21:58.2,7%
8/29/2024,21:57.3,12%
8/29/2024,21:56.4,9%
8/29/2024,21:55.5,14%
8/29/2024,21:54.6,5%
8/29/2024,21:53.7,13%
8/29/2024,21:52.7,11%
8/29/2024,21:51.8,8%
8/29/2024,21:50.9,5%
8/29/2024,21:50.0,12%
8/29/2024,21:49.1,15%
8/29/2024,21:48.2,5%
8/29/2024,21:47.3,6%
8/29/2024,21:46.4,11%
8/29/2024,21:45.6,6%
8/29/2024,21:44.5,8%
8/29/2024,21:43.6,8%
8/29/2024,21:42.7,12%
8/29/2024,21:41.8,6%
8/29/2024,21:40.9,7%
8/29/2024,21:40.0,6%
8/29/2024,21:39.1,6%
8/29/2024,21:38.2,8%
8/29/2024,21:37.3,10%
8/29/2024,21:36.4,11%
8/29/2024,21:35.4,10%
8/29/2024,21:34.6,9%
8/29/2024,21:33.6,5%
8/29/2024,21:32.7,11%
8/29/2024,21:31.8,8%
8/29/2024,21:30.9,15%
8/29/2024,21:30.0,10%
8/29/2024,21:29.1,5%
8/29/2024,21:28.1,8%
8/29/2024,21:27.2,8%
8/29/2024,21:26.3,5%
8/29/2024,21:25.4,9%
8/29/2024,21:24.5,9%
8/29/2024,21:23.6,15%
8/29/2024,21:22.7,14%
8/29/2024,21:21.8,6%
8/29/2024,21:20.9,7%
8/29/2024,21:19.9,5%
8/29/2024,21:19.0,11%
8/29/2024,21:18.1,7%
8/29/2024,21:17.2,7%
8/29/2024,21:16.3,9%
8/29/2024,21:15.4,13%
8/29/2024,21:14.5,7%
8/29/2024,21:13.6,15%
8/29/2024,21:12.7,6%
8/29/2024,21:11.7,12%
8/29/2024,21:10.8,11%
8/29/2024,21:09.9,9%
8/29/2024,21:09.0,12%
8/29/2024,21:08.1,6%
8/29/2024,21:07.2,9%
8/29/2024,21:06.3,12%
8/29/2024,21:05.4,9%
8/29/2024,21:04.6,6%
8/29/2024,21:03.5,9%
8/29/2024,21:02.6,11%
8/29/2024,21:01.7,9%
8/29/2024,21:00.8,11%
8/29/2024,20:59.9,13%
8/29/2024,20:59.0,9%
8/29/2024,20:58.1,11%
8/29/2024,20:57.2,15%
8/29/2024,20:56.2,14%
8/29/2024,20:55.5,6%
8/29/2024,20:54.4,15%
8/29/2024,20:53.5,10%
8/29/2024,20:52.6,11%
8/29/2024,20:51.7,8%
8/29/2024,20:50.9,12%
8/29/2024,20:49.9,6%
8/29/2024,20:49.0,12%
8/29/2024,20:48.0,9%
8/29/2024,20:47.1,5%
8/29/2024,20:46.2,8%
8/29/2024,20:45.3,13%
8/29/2024,20:44.4,8%
8/29/2024,20:43.5,10%
8/29/2024,20:42.6,9%
8/29/2024,20:41.8,11%
8/29/2024,20:40.8,15%
8/29/2024,20:39.8,5%
8/29/2024,20:38.9,14%
8/29/2024,20:38.0,5%
8/29/2024,20:37.1,9%
8/29/2024,20:36.2,5%
8/29/2024,20:35.3,13%
8/29/2024,20:34.4,7%
8/29/2024,20:33.5,15%
8/29/2024,20:32.6,10%
8/29/2024,20:31.6,11%
8/29/2024,20:30.7,5%
8/29/2024,20:29.8,8%
8/29/2024,20:28.9,14%
8/29/2024,20:28.0,12%
8/29/2024,20:27.1,5%
8/29/2024,20:26.2,9%
8/29/2024,20:25.3,11%
8/29/2024,20:24.4,12%
8/29/2024,20:23.4,10%
8/29/2024,20:22.5,15%
8/29/2024,20:21.6,15%
8/29/2024,20:20.7,8%
8/29/2024,20:19.8,9%
8/29/2024,20:18.9,11%
8/29/2024,20:18.0,12%
8/29/2024,20:17.1,5%
8/29/2024,20:16.1,5%
8/29/2024,20:15.2,14%
8/29/2024,20:14.3,9%
8/29/2024,20:13.4,8%
8/29/2024,20:12.5,6%
8/29/2024,20:11.6,15%
8/29/2024,20:10.7,14%
8/29/2024,20:09.8,6%
8/29/2024,20:08.9,9%
8/29/2024,20:07.9,10%
8/29/2024,20:07.0,11%
8/29/2024,20:06.1,9%
8/29/2024,20:05.2,10%
8/29/2024,20:04.3,11%
8/29/2024,20:03.4,12%
8/29/2024,20:02.5,10%
8/29/2024,20:01.6,8%
8/29/2024,20:00.7,7%
8/29/2024,19:59.8,6%
8/29/2024,19:58.8,10%
8/29/2024,19:57.9,12%
8/29/2024,19:57.0,5%
8/29/2024,19:56.3,11%
8/29/2024,19:55.2,7%
8/29/2024,19:54.3,12%
8/29/2024,19:53.4,11%
8/29/2024,19:52.4,14%
8/29/2024,19:44.1,7%
8/29/2024,19:43.2,6%
8/29/2024,19:42.3,15%
8/29/2024,19:41.4,11%
8/29/2024,19:40.5,8%
8/29/2024,19:39.6,11%
8/29/2024,19:38.7,5%
8/29/2024,19:37.8,10%
8/29/2024,19:36.9,15%
8/29/2024,19:35.9,8%
8/29/2024,19:35.0,9%
8/29/2024,19:34.1,13%
8/29/2024,19:33.2,11%
8/29/2024,19:32.3,7%
8/29/2024,19:31.4,11%
8/29/2024,19:30.5,14%
8/29/2024,19:29.5,15%
8/29/2024,19:28.7,7%
8/29/2024,19:27.7,10%
8/29/2024,19:27.0,11%
8/29/2024,19:25.9,9%
8/29/2024,19:25.0,11%
8/29/2024,19:24.1,9%
8/29/2024,19:23.2,5%
8/29/2024,19:22.3,6%
8/29/2024,19:21.3,7%
8/29/2024,19:20.4,5%
8/29/2024,19:19.5,13%
8/29/2024,19:18.6,14%
8/29/2024,19:17.7,14%
8/29/2024,19:17.0,9%
8/29/2024,19:15.9,11%
8/29/2024,19:15.0,9%
8/29/2024,19:14.1,6%
8/29/2024,19:13.1,15%
8/29/2024,19:12.2,12%
8/29/2024,19:11.3,8%
8/29/2024,19:10.4,14%
8/29/2024,19:09.5,12%
8/29/2024,19:08.6,14%
8/29/2024,19:07.7,15%
8/29/2024,19:06.8,8%
8/29/2024,19:05.9,13%
8/29/2024,19:04.9,7%
8/29/2024,19:04.0,13%
8/29/2024,19:03.1,9%
8/29/2024,19:02.2,13%
8/29/2024,19:01.3,15%
8/29/2024,19:00.4,12%
8/29/2024,18:59.5,9%
8/29/2024,18:58.6,6%
8/29/2024,18:57.6,11%
8/29/2024,18:56.7,6%
8/29/2024,18:55.8,11%
8/29/2024,18:54.9,9%
8/29/2024,18:54.0,7%
8/29/2024,18:53.1,10%
8/29/2024,18:52.2,11%
8/29/2024,18:51.3,9%
8/29/2024,18:50.4,7%
8/29/2024,18:49.5,9%
8/29/2024,18:48.5,11%
8/29/2024,18:47.6,8%
8/29/2024,18:46.7,7%
8/29/2024,18:45.8,15%
8/29/2024,18:44.9,15%
8/29/2024,18:44.0,9%
8/29/2024,18:43.1,5%
8/29/2024,18:42.2,14%
8/29/2024,18:41.2,13%
8/29/2024,18:40.3,8%
8/29/2024,18:39.4,14%
8/29/2024,18:38.5,5%
8/29/2024,18:37.6,11%
8/29/2024,18:36.7,8%
8/29/2024,18:35.8,6%
8/29/2024,18:34.9,15%
8/29/2024,18:34.0,14%
8/29/2024,18:33.0,9%
8/29/2024,18:32.1,6%
8/29/2024,18:31.2,8%
8/29/2024,18:30.3,13%
8/29/2024,18:29.4,12%
8/29/2024,18:28.5,10%
8/29/2024,18:27.6,9%
8/29/2024,18:26.8,11%
8/29/2024,18:25.8,11%
8/29/2024,18:24.8,10%
8/29/2024,18:23.9,7%
8/29/2024,18:23.0,11%
8/29/2024,18:22.1,12%
8/29/2024,18:21.2,10%
8/29/2024,18:20.3,9%
8/29/2024,18:19.4,5%
8/29/2024,18:18.5,13%
8/29/2024,18:17.6,14%
8/29/2024,18:16.6,12%
8/29/2024,18:15.8,12%
8/29/2024,18:14.8,13%
8/29/2024,18:13.9,15%
8/29/2024,18:13.0,12%
8/29/2024,18:12.1,13%
8/29/2024,18:11.2,12%
8/29/2024,18:10.3,9%
8/29/2024,18:09.3,5%
8/29/2024,17:58.0,12%
8/29/2024,17:56.9,14%
8/29/2024,17:56.0,8%
8/29/2024,17:55.1,5%
8/29/2024,17:54.2,15%
8/29/2024,17:53.3,6%
8/29/2024,17:52.4,10%
8/29/2024,17:51.4,15%
8/29/2024,17:50.5,5%
8/29/2024,17:49.6,9%
8/29/2024,17:48.7,10%
8/29/2024,17:47.8,13%
8/29/2024,17:46.9,11%
8/29/2024,17:46.0,14%
8/29/2024,17:45.1,12%
8/29/2024,17:44.1,12%
8/29/2024,17:43.3,11%
8/29/2024,17:42.4,14%
8/29/2024,17:41.4,5%
8/29/2024,17:40.5,14%
8/29/2024,17:39.6,7%
8/29/2024,17:38.7,9%
8/29/2024,17:37.8,11%
8/29/2024,17:36.9,8%
8/29/2024,17:35.9,12%
8/29/2024,17:35.1,7%
8/29/2024,17:34.1,10%
8/29/2024,17:33.2,7%
8/29/2024,17:32.3,5%
8/29/2024,17:31.4,8%
8/29/2024,17:30.5,5%
8/29/2024,17:29.6,6%
8/29/2024,17:28.7,10%
8/29/2024,17:27.7,10%
8/29/2024,17:26.9,11%
8/29/2024,17:25.9,8%
8/29/2024,17:25.0,10%
8/29/2024,17:24.1,11%
8/29/2024,17:23.2,14%
8/29/2024,17:22.3,7%
8/29/2024,17:21.4,15%
8/29/2024,17:20.5,11%
8/29/2024,17:19.5,13%
8/29/2024,17:18.7,8%
8/29/2024,17:17.7,10%
8/29/2024,17:16.8,9%
8/29/2024,17:15.9,9%
8/29/2024,17:15.0,10%
8/29/2024,17:14.1,12%
8/29/2024,17:13.2,7%
8/29/2024,17:12.3,14%
8/29/2024,17:11.6,14%
8/29/2024,17:10.4,15%
8/29/2024,17:09.5,9%
8/29/2024,17:08.6,9%
8/29/2024,17:07.7,14%
8/29/2024,17:06.8,15%
8/29/2024,17:05.9,11%
8/29/2024,17:05.0,5%
8/29/2024,17:04.0,8%
8/29/2024,17:03.1,12%
8/29/2024,17:02.3,12%
8/29/2024,17:01.3,9%
8/29/2024,17:00.4,10%
8/29/2024,16:59.5,9%
8/29/2024,16:58.6,5%
8/29/2024,16:57.7,10%
8/29/2024,16:56.8,12%
8/29/2024,16:55.9,14%
8/29/2024,16:54.9,12%
8/29/2024,16:54.2,8%
8/29/2024,16:53.1,12%
8/29/2024,16:52.2,9%
8/29/2024,16:51.5,14%
8/29/2024,16:50.4,10%
8/29/2024,16:49.5,7%
8/29/2024,16:48.6,12%
8/29/2024,16:47.6,5%
8/29/2024,16:46.7,14%
8/29/2024,16:45.8,12%
8/29/2024,16:44.9,7%
8/29/2024,16:44.0,7%
8/29/2024,16:43.1,9%
8/29/2024,16:42.2,11%
8/29/2024,16:41.3,9%
8/29/2024,16:40.4,15%
8/29/2024,16:39.4,8%
8/29/2024,16:38.5,13%
8/29/2024,16:37.6,11%
8/29/2024,16:36.7,12%
8/29/2024,16:35.8,12%
8/29/2024,16:34.9,9%
8/29/2024,16:34.0,6%
8/29/2024,16:33.1,15%
8/29/2024,16:32.2,12%
8/29/2024,16:31.2,7%
8/29/2024,16:30.3,15%
8/29/2024,16:29.4,14%
8/29/2024,16:28.5,10%
8/29/2024,16:27.6,15%
8/29/2024,16:26.7,7%
8/29/2024,16:25.8,10%
8/29/2024,16:24.9,7%
8/29/2024,16:23.9,13%
8/29/2024,16:23.1,5%
8/29/2024,16:22.1,13%
8/29/2024,16:21.2,15%
8/29/2024,16:20.3,8%
8/29/2024,16:19.4,15%
8/29/2024,16:18.5,11%
8/29/2024,16:17.6,14%
8/29/2024,16:16.7,15%
8/29/2024,16:15.7,13%
8/29/2024,16:14.8,15%
8/29/2024,16:13.9,14%
8/29/2024,16:13.0,13%
8/29/2024,16:12.3,5%
8/29/2024,16:11.2,11%
8/29/2024,16:10.3,7%
8/29/2024,16:09.4,5%
8/29/2024,16:08.5,10%
8/29/2024,16:07.6,14%
8/29/2024,16:06.6,8%
8/29/2024,16:05.7,14%
8/29/2024,16:04.8,6%
8/29/2024,16:04.1,10%
8/29/2024,16:03.0,10%
8/29/2024,16:02.1,14%
8/29/2024,16:01.2,11%
8/29/2024,16:00.3,9%
8/29/2024,15:59.3,15%
8/29/2024,15:58.4,12%
8/29/2024,15:57.5,8%
8/29/2024,15:56.6,5%
8/29/2024,15:55.7,15%
8/29/2024,15:54.8,14%
8/29/2024,15:53.9,10%
8/29/2024,15:53.0,9%
8/29/2024,15:52.1,14%
8/29/2024,15:51.1,7%
8/29/2024,15:50.2,6%
8/29/2024,15:49.3,11%
8/29/2024,15:48.4,10%
8/29/2024,15:47.5,7%
8/29/2024,15:46.6,6%
8/29/2024,15:45.7,10%
8/29/2024,15:44.8,11%
8/29/2024,15:43.9,14%
8/29/2024,15:42.9,9%
8/29/2024,15:42.0,14%
8/29/2024,15:41.1,15%
8/29/2024,15:40.2,13%
8/29/2024,15:39.3,12%
8/29/2024,15:38.4,10%
8/29/2024,15:37.5,12%
8/29/2024,15:36.6,7%
8/29/2024,15:35.7,7%
8/29/2024,15:34.7,14%
8/29/2024,15:33.8,14%
8/29/2024,15:32.9,10%
8/29/2024,15:32.0,13%
8/29/2024,15:31.1,8%
8/29/2024,15:30.2,8%
8/29/2024,15:29.3,7%
8/29/2024,15:28.3,5%
8/29/2024,15:27.6,11%
8/29/2024,15:26.5,12%
8/29/2024,15:25.6,14%
8/29/2024,15:24.7,13%
8/29/2024,15:23.8,9%
8/29/2024,15:22.9,11%
8/29/2024,15:22.0,7%
8/29/2024,15:21.1,11%
8/29/2024,15:20.2,7%
8/29/2024,15:19.2,11%
8/29/2024,15:18.3,6%
8/29/2024,15:17.4,13%
8/29/2024,15:16.5,6%
8/29/2024,15:15.6,13%
8/29/2024,15:14.7,6%
8/29/2024,15:13.8,12%
8/29/2024,15:12.9,6%
8/29/2024,15:12.0,14%
8/29/2024,15:11.0,11%
8/29/2024,15:10.1,15%
8/29/2024,15:09.2,14%
8/29/2024,15:08.3,13%
8/29/2024,15:07.4,13%
8/29/2024,15:06.5,5%
8/29/2024,15:05.6,13%
8/29/2024,15:04.7,9%
8/29/2024,15:03.7,5%
8/29/2024,15:02.8,9%
8/29/2024,15:02.1,12%
8/29/2024,15:01.0,9%
8/29/2024,15:00.3,10%
8/29/2024,14:59.2,14%
8/29/2024,14:58.3,10%
8/29/2024,14:57.4,10%
8/29/2024,14:56.5,14%
8/29/2024,14:55.5,14%
8/29/2024,14:54.6,10%
8/29/2024,14:53.7,9%
8/29/2024,14:52.8,7%
8/29/2024,14:51.9,14%
8/29/2024,14:51.0,7%
8/29/2024,14:50.1,5%
8/29/2024,14:49.2,10%
8/29/2024,14:48.2,5%
8/29/2024,14:47.3,12%
8/29/2024,14:46.4,7%
8/29/2024,14:45.5,11%
8/29/2024,14:44.6,14%
8/29/2024,14:43.7,6%
8/29/2024,14:42.8,13%
8/29/2024,14:41.9,8%
8/29/2024,14:41.0,6%
8/29/2024,14:40.0,11%
8/29/2024,14:39.1,8%
8/29/2024,14:38.2,8%
8/29/2024,14:37.3,7%
8/29/2024,14:36.6,11%
8/29/2024,14:35.5,7%
8/29/2024,14:34.6,15%
8/29/2024,14:33.7,12%
8/29/2024,14:32.8,7%
8/29/2024,14:31.9,8%
8/29/2024,14:30.9,11%
8/29/2024,14:30.0,12%
8/29/2024,14:29.1,7%
8/29/2024,14:28.2,9%
8/29/2024,14:27.3,10%
8/29/2024,14:26.4,13%
8/29/2024,14:25.5,11%
8/29/2024,14:24.6,12%
8/29/2024,14:23.6,9%
8/29/2024,14:22.7,15%
8/29/2024,14:21.8,14%
8/29/2024,14:20.9,14%
8/29/2024,14:20.0,6%
8/29/2024,14:19.3,8%
8/29/2024,14:18.2,13%
8/29/2024,14:17.3,5%
8/29/2024,14:16.3,7%
8/29/2024,14:15.4,14%
8/29/2024,14:14.5,7%
8/29/2024,14:13.6,6%
8/29/2024,14:12.7,15%
8/29/2024,14:11.8,9%
8/29/2024,14:10.9,12%
8/29/2024,14:10.0,5%
8/29/2024,14:09.1,12%
8/29/2024,14:08.2,10%
8/29/2024,14:07.3,5%
8/29/2024,14:06.3,8%
8/29/2024,14:05.4,10%
8/29/2024,14:04.5,6%
8/29/2024,14:03.6,9%
8/29/2024,14:02.7,13%
8/29/2024,14:01.8,7%
8/29/2024,14:00.9,14%
8/29/2024,14:00.0,15%
8/29/2024,13:59.0,11%
8/29/2024,13:58.1,11%
8/29/2024,13:57.2,10%
8/29/2024,13:56.5,10%
8/29/2024,13:55.4,10%
8/29/2024,13:54.5,13%
8/29/2024,13:53.6,13%
8/29/2024,13:52.7,13%
8/29/2024,13:51.7,11%
8/29/2024,13:50.8,11%
8/29/2024,13:49.9,5%
8/29/2024,13:49.0,5%
8/29/2024,13:48.1,13%
8/29/2024,13:47.4,12%
8/29/2024,13:46.3,6%
8/29/2024,13:45.4,13%
8/29/2024,13:44.5,8%
8/29/2024,13:43.5,11%
8/29/2024,13:42.6,7%
8/29/2024,13:41.7,5%
8/29/2024,13:40.8,13%
8/29/2024,13:39.9,10%
8/29/2024,13:39.0,13%
8/29/2024,13:38.1,10%
8/29/2024,13:37.2,7%
8/29/2024,13:36.2,10%
8/29/2024,13:35.3,12%
8/29/2024,13:34.4,13%
8/29/2024,13:33.5,13%
8/29/2024,13:32.6,13%
8/29/2024,13:31.7,13%
8/29/2024,13:30.8,11%
8/29/2024,13:29.9,12%
8/29/2024,13:29.1,11%
8/29/2024,13:28.1,7%
8/29/2024,13:27.1,9%
8/29/2024,13:26.2,6%
8/29/2024,13:25.3,8%
8/29/2024,13:24.4,15%
8/29/2024,13:23.5,11%
8/29/2024,13:22.6,11%
8/29/2024,13:21.7,11%
8/29/2024,13:20.8,14%
8/29/2024,13:19.9,9%
8/29/2024,13:18.9,7%
8/29/2024,13:18.0,12%
8/29/2024,13:17.1,11%
8/29/2024,13:16.2,11%
8/29/2024,13:15.3,11%
8/29/2024,13:14.4,12%
8/29/2024,13:13.5,11%
8/29/2024,13:12.6,15%
8/29/2024,13:11.6,13%
8/29/2024,13:10.7,8%
8/29/2024,13:09.8,8%
8/29/2024,13:08.9,12%
8/29/2024,13:08.0,9%
8/29/2024,13:07.1,15%
8/29/2024,13:06.2,12%
8/29/2024,13:05.3,13%
8/29/2024,13:04.4,14%
8/29/2024,13:03.4,8%
8/29/2024,13:02.5,11%
8/29/2024,13:01.6,6%
8/29/2024,13:00.7,9%
8/29/2024,12:59.8,15%
8/29/2024,12:58.9,11%
8/29/2024,12:58.0,13%
8/29/2024,12:57.1,5%
8/29/2024,12:56.1,11%
8/29/2024,12:55.3,6%
8/29/2024,12:54.3,12%
8/29/2024,12:53.4,15%
8/29/2024,12:52.5,14%
8/29/2024,12:51.6,6%
8/29/2024,12:50.7,5%
8/29/2024,12:49.8,7%
8/29/2024,12:48.9,5%
8/29/2024,12:48.0,12%
8/29/2024,12:47.0,6%
8/29/2024,12:46.1,13%
8/29/2024,12:45.2,11%
8/29/2024,12:44.3,6%
8/29/2024,12:43.4,8%
8/29/2024,12:42.5,14%
8/29/2024,12:41.6,14%
8/29/2024,12:40.7,8%
8/29/2024,12:39.7,8%
8/29/2024,12:38.9,15%
8/29/2024,12:37.9,10%
8/29/2024,12:37.0,13%
8/29/2024,12:36.1,6%
8/29/2024,12:35.2,14%
8/29/2024,12:34.3,13%
8/29/2024,12:33.4,9%
8/29/2024,12:32.4,12%
8/29/2024,12:31.5,14%
8/29/2024,12:30.6,10%
8/29/2024,12:29.7,7%
8/29/2024,12:28.8,13%
8/29/2024,12:27.9,6%
8/29/2024,12:27.0,12%
8/29/2024,12:26.1,7%
8/29/2024,12:25.2,11%
8/29/2024,12:24.3,7%
8/29/2024,12:23.4,8%
8/29/2024,12:22.4,12%
8/29/2024,12:21.5,12%
8/29/2024,12:20.6,7%
8/29/2024,12:19.7,14%
8/29/2024,12:18.8,13%
8/29/2024,12:17.9,8%
8/29/2024,12:17.0,7%
8/29/2024,12:16.1,6%
8/29/2024,12:15.1,10%
8/29/2024,12:14.2,9%
8/29/2024,12:13.3,12%
8/29/2024,12:12.4,7%
8/29/2024,12:11.5,12%
8/29/2024,12:10.6,8%
8/29/2024,12:09.7,15%
8/29/2024,12:08.8,5%
8/29/2024,12:07.9,13%
8/29/2024,12:06.9,12%
8/29/2024,12:06.1,13%
8/29/2024,12:05.1,14%
8/29/2024,12:04.2,9%
8/29/2024,12:03.3,7%
8/29/2024,12:02.4,8%
8/29/2024,12:01.5,8%
8/29/2024,12:00.6,11%
8/29/2024,11:59.7,7%
8/29/2024,11:58.7,10%
8/29/2024,11:57.8,11%
8/29/2024,11:56.9,13%
8/29/2024,11:56.0,11%
8/29/2024,11:55.1,15%
8/29/2024,11:54.2,15%
8/29/2024,11:53.4,8%
8/29/2024,11:52.4,11%
8/29/2024,11:51.4,5%
8/29/2024,11:50.6,13%
8/29/2024,11:49.6,13%
8/29/2024,11:48.7,5%
8/29/2024,11:47.8,14%
8/29/2024,11:46.9,7%
8/29/2024,11:46.0,5%
8/29/2024,11:45.1,7%
8/29/2024,11:44.3,8%
8/29/2024,11:43.2,13%
8/29/2024,11:42.3,5%
8/29/2024,11:41.4,13%
8/29/2024,11:40.5,12%
8/29/2024,11:39.8,13%
8/29/2024,11:38.7,13%
8/29/2024,11:37.8,11%
8/29/2024,11:36.9,8%
8/29/2024,11:35.9,8%
8/29/2024,11:35.0,12%
8/29/2024,11:34.1,15%
8/29/2024,11:33.2,14%
8/29/2024,11:32.3,10%
8/29/2024,11:31.4,9%
8/29/2024,11:30.6,10%
8/29/2024,11:29.6,11%
8/29/2024,11:28.7,9%
8/29/2024,11:27.7,5%
8/29/2024,11:26.8,8%
8/29/2024,11:26.1,5%
8/29/2024,11:25.0,14%
8/29/2024,11:24.1,10%
8/29/2024,11:23.2,13%
8/29/2024,11:22.3,9%
8/29/2024,11:21.4,13%
8/29/2024,11:20.5,15%
8/29/2024,11:19.5,6%
8/29/2024,11:18.6,9%
8/29/2024,11:17.7,6%
8/29/2024,11:16.8,11%
8/29/2024,11:15.9,12%
8/29/2024,11:15.0,14%
8/29/2024,11:14.1,11%
8/29/2024,11:13.2,8%
8/29/2024,11:12.4,15%
8/29/2024,11:11.3,6%
8/29/2024,11:10.4,7%
8/29/2024,11:09.5,13%
8/29/2024,11:08.6,15%
8/29/2024,11:07.7,8%
8/29/2024,11:06.8,14%
8/29/2024,11:05.9,12%
8/29/2024,11:05.0,10%
8/29/2024,11:04.0,5%
8/29/2024,11:03.1,13%
8/29/2024,11:02.2,8%
8/29/2024,11:01.3,5%
8/29/2024,11:00.4,6%
8/29/2024,10:59.5,6%
8/29/2024,10:58.6,11%
8/29/2024,10:57.9,13%
8/29/2024,10:56.8,15%
8/29/2024,10:55.8,14%
8/29/2024,10:54.9,5%
8/29/2024,10:54.0,11%
8/29/2024,10:53.1,12%
8/29/2024,10:52.2,6%
8/29/2024,10:51.3,14%
8/29/2024,10:50.4,5%
8/29/2024,10:49.5,5%
8/29/2024,10:48.5,9%
8/29/2024,10:47.6,7%
8/29/2024,10:46.7,9%
8/29/2024,10:45.8,8%
8/29/2024,10:44.9,6%
8/29/2024,10:44.0,8%
8/29/2024,10:43.1,5%
8/29/2024,10:42.2,13%
8/29/2024,10:41.3,14%
8/29/2024,10:40.4,8%
8/29/2024,10:39.4,6%
8/29/2024,10:38.5,6%
8/29/2024,10:37.6,8%
8/29/2024,10:36.7,10%
8/29/2024,10:35.8,5%
8/29/2024,10:34.9,5%
8/29/2024,10:34.0,7%
8/29/2024,10:33.1,6%
8/29/2024,10:32.2,14%
8/29/2024,10:31.3,6%
8/29/2024,10:30.3,15%
8/29/2024,10:29.4,6%
8/29/2024,10:28.5,12%
8/29/2024,10:27.6,9%
8/29/2024,10:26.7,8%
8/29/2024,10:25.8,13%
8/29/2024,10:24.9,12%
8/29/2024,10:24.0,8%
8/29/2024,10:23.1,7%
8/29/2024,10:22.1,12%
8/29/2024,10:21.2,5%
8/29/2024,10:20.3,12%
8/29/2024,10:19.4,8%
8/29/2024,10:18.5,10%
8/29/2024,10:17.6,10%
8/29/2024,10:16.7,12%
8/29/2024,10:15.7,13%
8/29/2024,10:14.8,9%
8/29/2024,10:13.9,7%
8/29/2024,10:13.0,15%
8/29/2024,10:12.1,14%
8/29/2024,10:11.2,11%
8/29/2024,10:10.3,12%
8/29/2024,10:09.4,15%
8/29/2024,10:08.5,5%
8/29/2024,10:07.5,15%
8/29/2024,10:06.6,7%
8/29/2024,10:05.7,5%
8/29/2024,10:04.8,12%
8/29/2024,10:03.9,15%
8/29/2024,10:03.0,12%
8/29/2024,10:02.1,9%
8/29/2024,10:01.2,8%
8/29/2024,10:00.3,12%
8/29/2024,09:59.3,8%
8/29/2024,09:58.4,15%
8/29/2024,09:57.5,15%
8/29/2024,09:56.6,15%
8/29/2024,09:55.7,11%
8/29/2024,09:54.8,12%
8/29/2024,09:53.9,12%
8/29/2024,09:53.0,7%
8/29/2024,09:52.0,6%
8/29/2024,09:51.1,12%
8/29/2024,09:50.4,6%
8/29/2024,09:49.3,7%
8/29/2024,09:48.4,15%
8/29/2024,09:47.5,10%
8/29/2024,09:46.6,7%
8/29/2024,09:45.8,7%
8/29/2024,09:44.8,15%
8/29/2024,09:43.8,7%
8/29/2024,09:42.9,5%
8/29/2024,09:42.0,10%
8/29/2024,09:41.1,6%
8/29/2024,09:40.2,15%
8/29/2024,09:39.3,8%
8/29/2024,09:38.4,14%
8/29/2024,09:37.5,7%
8/29/2024,09:36.6,12%
8/29/2024,09:35.6,14%
8/29/2024,09:34.7,13%
8/29/2024,09:33.8,10%
8/29/2024,09:32.9,14%
8/29/2024,09:32.0,5%
8/29/2024,09:31.1,14%
8/29/2024,09:30.2,13%
8/29/2024,09:29.3,7%
8/29/2024,09:28.4,6%
8/29/2024,09:27.4,13%
8/29/2024,09:26.6,5%
8/29/2024,09:25.6,14%
8/29/2024,09:24.7,5%
8/29/2024,09:23.8,13%
8/29/2024,09:22.9,11%
8/29/2024,09:22.0,14%
8/29/2024,09:21.1,6%
8/29/2024,09:20.1,10%
8/29/2024,09:19.2,10%
8/29/2024,09:18.3,5%
8/29/2024,09:17.4,13%
8/29/2024,09:16.5,10%
